id	compound	dbid	dblink	peaks
DBREF0024	Trigonelline	HMDB00875	http://www.hmdb.ca/spectra/nmr_one_d/1579	9.566,9.1328,8.8553,8.8418,8.1103,8.0961,8.0822,4.452
DBREF0025	Tryptophane	HMDB00929	http://www.hmdb.ca/spectra/nmr_one_d/1608	7.7443,7.7285,7.5534,7.5371,7.325,7.3007,7.2862,7.2706,7.216,7.2015,4.0714,4.0618,4.0556,4.0459,3.475,3.4655,3.3391,3.3231
DBREF0026	Tyrosine	HMDB00158	http://www.hmdb.ca/spectra/nmr_one_d/1117	7.2071,7.1902,6.9137,6.8968,3.9604,3.95,3.945,3.9347,3.2247,3.2145,3.1953,3.1851,3.0866,3.0711,3.0573,3.0417
DBREF0027	Valine	HMDB00883	http://www.hmdb.ca/spectra/nmr_one_d/1582	3.6155,3.6068,2.3274,2.3135,2.3044,2.2994,2.2906,2.2854,2.2766,2.2714,2.2626,2.2576,2.2486,1.0541,1.0401,1.001,0.987
DBREF0028	Acetylcholine	HMDB00895	http://www.hmdb.ca/spectra/nmr_one_d/1589	4.5761,4.571,4.5662,4.5615,4.5568,4.552,4.5469,3.7525,3.7478,3.7429,3.7383,3.7334,3.2262,2.1555
DBREF0029	Glycolic acid	HMDB00115	http://www.hmdb.ca/spectra/nmr_one_d/1089	3.9475
DBREF0030	Shikimic acid	HMDB03070	http://www.hmdb.ca/spectra/nmr_one_d/1924	6.455,6.4533,6.4502,6.4493,6.4462,6.4445,4.4135,4.4048,4.3961,4.013,4.0019,3.9973,3.9955,3.9842,3.9797,3.9686,3.7281,3.7194,3.7099,3.7012,2.7898,2.7788,2.7541,2.7431,2.2256,2.224,2.2215,2.2127,2.2103,2.2086,2.2061,2.1923,2.1899,2.1882,2.1858,2.177,2.1746,2.1729,2.1704
DBREF0031	Adenosine	HMDB00050	http://www.hmdb.ca/spectra/nmr_one_d/1053	8.3244,8.1932,6.0633,6.0511,4.8019,4.791,4.7794,4.4479,4.4408,4.4311,4.3077,4.302,3.9441,3.9391,3.9183,3.9135,3.8644,3.8574,3.8386,3.8316
DBREF0032	Amygdalin	HMDB35030		7.6272,7.6196,7.6125,7.5584,7.5551,7.5478,7.5284,5.896,4.6323,4.6166,4.6002,4.5843,4.2309,4.2085,3.9491,3.9433,3.9288,3.9251,3.9082,3.7729,3.7618,3.7482,3.7371,3.6383,3.6291,3.6191,3.6103,3.5811,3.5629,3.5451,3.5308,3.5112,3.4925,3.4853,3.4746,3.4556,3.4368,3.4179,3.4026,3.3845,3.3675,3.3488
DBREF0033	Arabinose	HMDB29942		5.2487,5.2415,4.5307,4.515,4.044,4.0179,4.0103,3.9488,3.918,3.914,3.8917,3.8884,3.8764,3.8698,3.8342,3.8271,3.6988,3.6825,3.6741,3.6627,3.656,3.6413,3.5284,3.5126,3.5091,3.4932
DBREF0034	Arabitol	HMDB00568	http://www.hmdb.ca/spectra/nmr_one_d/1424	3.9503,3.9461,3.9391,3.9358,3.9321,3.9252,3.9211,3.8573,3.8514,3.8338,3.8279,3.7762,3.7703,3.7635,3.7591,3.7581,3.7539,3.7469,3.7411,3.71,3.699,3.6868,3.6844,3.6761,3.6702,3.6589,3.6463,3.5933,3.5891,3.5766,3.5725
DBREF0035	beta-alanine	HMDB00056	http://www.hmdb.ca/spectra/nmr_one_d/1058	3.1975,3.1841,3.1706,2.5795,2.5661,2.5527
DBREF0036	cadaverine	HMDB02322	http://www.hmdb.ca/spectra/nmr_one_d/1873	3.0423,3.0271,3.0118,1.7581,1.7429,1.7274,1.7122,1.6966,1.5074,1.4912,1.4763,1.4601,1.4453
DBREF0037	caffeic acid	HMDB01964	http://www.hmdb.ca/spectra/nmr_one_d/1824	7.3126,7.2807,7.1737,7.1699,7.0905,7.0867,7.074,7.0701,6.9497,6.9333,6.3686,6.3366
DBREF0038	carnitine	HMDB00062		4.574,4.5639,3.4759,3.448,3.431,3.4082,3.2331,2.456,2.448,2.4422,2.4356
DBREF0039	Catechine	HMDB02780	http://www.hmdb.ca/spectra/nmr_one_d/1904	6.9537,6.93,6.8644,6.8482,6.1012,6.0989,6.0036,4.6454,4.6295,4.1252,4.1093,4.0979,4.0819,2.89,2.8792,2.8582,2.8475,2.5199,2.5029,2.4882,2.4713
DBREF0040	Cellobiose	HMDB00055	http://www.hmdb.ca/spectra/nmr_one_d/1057	5.2424,5.235,4.683,4.6671,4.5292,4.5134,3.9754,3.9677,3.9619,3.9511,3.9393,3.9136,3.8886,3.8848,3.8774,3.8685,3.8472,3.8294,3.8229,3.8087,3.7982,3.7668,3.7554,3.742,3.7306,3.7109,3.6815,3.6652,3.6489,3.6342,3.6178,3.6041,3.5964,3.5844,3.5768,3.543,3.5247,3.5159,3.5061,3.4968,3.4854,3.4474,3.429,3.4099,3.3481,3.3417,3.3254,3.3124,3.3076,3.2947,3.2782,3.2645
DBREF0041	Citramalic acid	HMDB00426	http://www.hmdb.ca/spectra/nmr_one_d/1365	2.779,2.7476,2.4788,2.4473
DBREF0042	Citruline	HMDB00904	http://www.hmdb.ca/spectra/nmr_one_d/1596	3.7757,3.7642,3.7523,3.1605,3.1476,3.1344,1.9325,1.8944,1.8846,1.8736,1.8544,1.8376,1.8259,1.6432,1.6304,1.6177,1.6066,1.5966,1.5846,1.5744,1.5625,1.551,1.5404,1.5281
DBREF0043	Cysteine	HMDB00574	http://www.hmdb.ca/spectra/nmr_one_d/1426	3.9519,3.9401,3.9274,3.0986,3.0843,3.0616,3.0473,3.0328,3.0225,2.9958,2.9855
DBREF0044	Ferulic acid	HMDB00954	http://www.hmdb.ca/spectra/nmr_one_d/1619	7.3568,7.3249,7.2234,7.2197,7.1231,7.1194,7.1068,7.103,6.9335,6.9172,6.3946,6.3627,3.895
DBREF0045	Fucose	HMDB00174	http://www.hmdb.ca/spectra/nmr_one_d/1139	5.209,5.2012,4.5676,4.5518,4.2221,4.209,4.1958,4.1827,3.8818,3.8739,3.8674,3.8534,3.8466,3.8304,3.8168,3.806,3.8048,3.7914,3.78,3.7721,3.7591,3.7523,3.746,3.6577,3.6507,3.6378,3.6308,3.4654,3.4494,3.4457,3.4296,1.2558,1.2427,1.2157,1.2025
DBREF0046	gluconic acid	HMDB00625	http://www.hmdb.ca/spectra/nmr_one_d/1442	4.1213,4.1124,4.0199,3.8278,3.797,3.7811,3.7507,3.6702,3.6638,3.6417,3.629
DBREF0047	Glutamine	HMDB00641	http://www.hmdb.ca/spectra/nmr_one_d/1452	3.7897,3.7775,3.7652,2.5071,2.4909,2.4761,2.4665,2.4605,2.451,2.4444,2.4361,2.4202,2.4053,2.1628,2.148,2.1352,2.119
DBREF0048	Glycerol	HMDB00131	http://www.hmdb.ca/spectra/nmr_one_d/1101	3.8077,3.7989,3.7947,3.7902,3.786,3.7818,3.7772,3.773,3.7643,3.6697,3.6611,3.6463,3.6376,3.5777,3.5647,3.5543,3.5412
DBREF0049	Glycine	HMDB00123	http://www.hmdb.ca/spectra/nmr_one_d/1094	3.5588
DBREF0050	Histidine	HMDB00177	http://www.hmdb.ca/spectra/nmr_one_d/1146	8.1837,7.2148,4.0258,4.0148,4.011,4,3.3174,3.3065,3.2861,3.2752,3.2486,3.2336,3.2173,3.2023
DBREF0051	indoxylsulfate	HMDB00682	http://www.hmdb.ca/spectra/nmr_one_d/1475	7.7209,7.7049,7.5233,7.5068,7.3679,7.2999,7.2856,7.271,7.2694,7.2255,7.2111,7.1955
DBREF0052	inositol			4.0651,4.0596,4.0539,3.6439,3.6244,3.6052,3.5464,3.5407,3.5264,3.5207,3.2946,3.2759,3.2572
DBREF0053	isobutyrate	HMDB01873	http://www.hmdb.ca/spectra/nmr_one_d/1771	2.4478,2.4339,2.4199,2.406,2.3921,2.3781,1.0777,1.0637
